nm,catégorie,nf,epicene,proper_noun,m_suffix,f_suffix
Abriessois,Nm,Abriessoise,0,1,True,True
abrutisseur,Nm,abrutisseuse,0,0,True,True
Abruzzais,Nm,Abruzzaise,0,1,True,True
Absconnais,Nm,Absconnaise,0,1,True,True
absent,Nm,absente,0,0,True,True
absentéiste,Nm,absentéiste,1,0,True,True
absintheur,Nm,absintheuse,0,0,True,True
absoluteur,Nm,absolutrice,0,0,True,True
absolutiste,Nm,absolutiste,1,0,True,True
abstentionniste,Nm,abstentionniste,1,0,True,True
abstinent,Nm,abstinente,0,0,True,True
abstractionniste,Nm,abstractionniste,1,0,True,True
abuseur,Nm,abuseuse,0,0,True,True
Abymien,Nm,Abymienne,0,1,True,True
Abyssin,Nm,Abyssine,0,1,True,True
abyssin,Nm,abyssine,0,0,True,True
Abyssinien,Nm,Abyssinienne,0,1,True,True
abyssinien,Nm,abyssinienne,0,0,True,True
Abzacais,Nm,Abzacaise,0,1,True,True
Abzacois,Nm,Abzacoise,0,1,True,True
Acacien,Nm,Acacienne,0,1,True,True
académicien,Nm,académicienne,0,0,True,True
académiste,Nm,académiste,1,0,True,True
Acadien,Nm,Acadienne,0,1,True,True
acadien,Nm,acadienne,0,0,True,True
acarnanien,Nm,acarnanienne,0,0,True,True
accadien,Nm,accadienne,0,0,True,True
accapareur,Nm,accapareuse,0,0,True,True
accédant,Nm,accédante,0,0,True,True
accepteur,Nm,accepteuse,0,0,True,True
accessoiriste,Nm,accessoiriste,1,0,True,True
accisien,Nm,accisienne,0,0,True,True
accitain,Nm,accitaine,0,0,True,True
accitanien,Nm,accitanienne,0,0,True,True
acclamateur,Nm,acclamatrice,0,0,True,True
Accolois,Nm,Accoloise,0,1,True,True
accommodeur,Nm,accommodeuse,0,0,True,True
accompagnant,Nm,accompagnante,0,0,True,True
accompagnateur,Nm,accompagnatrice,0,0,True,True
acconier,Nm,acconière,0,0,True,True
Acconnais,Nm,Acconnaise,0,1,True,True
accordéoneux,Nm,accordéoneuse,0,0,False,True
accordéoniste,Nm,accordéoniste,1,0,True,True
accoucheur,Nm,accoucheuse,0,0,True,True
accouveur,Nm,accouveuse,0,0,True,True
accréditeur,Nm,accréditrice,0,0,True,True
accrocheur,Nm,accrocheuse,0,0,True,True
accumulateur,Nm,accumulatrice,0,0,True,True
accusateur,Nm,accusatrice,0,0,True,True
acéphalien,Nm,acéphalienne,0,0,True,True
acériculteur,Nm,acéricultrice,0,0,True,True
Acérien,Nm,Acérienne,0,1,True,True
Acervallien,Nm,Acervallienne,0,1,True,True
Acervillerois,Nm,Acervilleroise,0,1,True,True
Acervillois,Nm,Acervilloise,0,1,True,True
achalant,Nm,achalante,0,0,True,True
Achard-Bourgeois,Nm,Achard-Bourgeoise,0,1,True,True
Achenheimois,Nm,Achenheimoise,0,1,True,True
Achênois,Nm,Achênoise,0,1,True,True
Achèrois,Nm,Achèroise,0,1,True,True
Achérois,Nm,Achéroise,0,1,True,True
acheteur,Nm,acheteuse,0,0,True,True
Achetois,Nm,Achetoise,0,1,True,True
acheveur,Nm,acheveuse,0,0,True,True
Achevillois,Nm,Achevilloise,0,1,True,True
Achgabatais,Nm,Achgabataise,0,1,True,True
Achicourtois,Nm,Achicourtoise,0,1,True,True
Achiétois,Nm,Achiétoise,0,1,True,True
achthéographe,Nm,achthéographe,1,0,True,True
Achunois,Nm,Achunoise,0,1,True,True
aciériste,Nm,aciériste,1,0,True,True
Acimontimartinois,Nm,Acimontimartinoise,0,1,True,True
Aclouais,Nm,Aclouaise,0,1,True,True
acméiste,Nm,acméiste,1,0,True,True
acomoclitiste,Nm,acomoclitiste,1,0,True,True
aconier,Nm,aconière,0,0,True,True
Aconnais,Nm,Aconnaise,0,1,True,True
Açorien,Nm,Açorienne,0,1,True,True
acotylédon,Nm,acotylédone,0,0,True,False
acousticien,Nm,acousticienne,0,0,True,True
acoustophobe,Nm,acoustophobe,1,0,True,True
Acoutin,Nm,Acoutine,0,1,True,True
Acozien,Nm,Acozienne,0,1,True,True
Acquae-Sextien,Nm,Acquae-Sextienne,0,1,True,True
acquéreur,Nm,acquéreuse,0,0,True,True
Acquevillais,Nm,Acquevillaise,0,1,True,True
Acquignicien,Nm,Acquignicienne,0,1,True,True
Acquinois,Nm,Acquinoise,0,1,True,True
Acquois,Nm,Acquoise,0,1,True,True
Acrais,Nm,Acraise,0,1,True,True
Acrenois,Nm,Acrenoise,0,1,True,True
acridien,Nm,acridienne,0,0,True,True
acteur,Nm,actrice,0,0,True,True
actien,Nm,actienne,0,0,True,True
actif,Nm,active,0,0,True,True
actionnaire,Nm,actionnaire,1,0,True,True
actionnaliste,Nm,actionnaliste,1,0,True,True
actionniste,Nm,actionniste,1,0,True,True
activiste,Nm,activiste,1,0,True,True
actuaire,Nm,actuaire,1,0,True,True
acuponcteur,Nm,acuponctrice,0,0,True,True
acupuncteur,Nm,acupuncteure,0,0,True,False
Adainvillois,Nm,Adainvilloise,0,1,True,True
adamien,Nm,adamienne,0,0,True,True
Adamois,Nm,Adamoise,0,1,True,True
Adamswillerois,Nm,Adamswilleroise,0,1,True,True
adaptateur,Nm,adaptatrice,0,0,True,True
Adastois,Nm,Adastoise,0,1,True,True
Adelanais,Nm,Adelanaise,0,1,True,True
Adémontain,Nm,Adémontaine,0,1,True,True
adéquiste,Nm,adéquiste,1,0,True,True
Aderguois,Nm,Aderguoise,0,1,True,True
Adérien,Nm,Adérienne,0,1,True,True
adhérent,Nm,adhérente,0,0,True,True
Adillysien,Nm,Adillysienne,0,1,True,True
Adinferrois,Nm,Adinferroise,0,1,True,True
Adissanais,Nm,Adissanaise,0,1,True,True
Adjotois,Nm,Adjotoise,0,1,True,True
adjudant,Nm,adjudante,0,0,True,True
adjudicateur,Nm,adjudicatrice,0,0,True,True
adjuteur,Nm,adjutrice,0,0,True,True
administrateur,Nm,administratrice,0,0,True,True
administratif,Nm,administrative,0,0,True,True
admirateur,Nm,admiratrice,0,0,True,True
admoniteur,Nm,admonitrice,0,0,True,True
adolescent,Nm,adolescente,0,0,True,True
adoniste,Nm,adoniste,1,0,True,True
Adonnais,Nm,Adonnaise,0,1,True,True
adoptant,Nm,adoptante,0,0,True,True
adoptien,Nm,adoptienne,0,0,True,True
adorateur,Nm,adoratrice;adorateuse,0,0,True,True
adoucisseur,Nm,adoucisseuse,0,0,True,True
Adraisien,Nm,Adraisienne,0,1,True,True
Adréchois,Nm,Adréchoise,0,1,True,True
adulateur,Nm,adulatrice,0,0,True,True
adulescent,Nm,adulescente,0,0,True,True
adultérateur,Nm,adultératrice,0,0,True,True
adultérin,Nm,adultérine,0,0,True,True
adultescent,Nm,adultescente,0,0,True,True
adventiste,Nm,adventiste,1,0,True,True
adversaire,Nm,adversaire,1,0,True,True
aéraulicien,Nm,aéraulicienne,0,0,True,True
aérodromphobe,Nm,aérodromphobe,1,0,True,True
aérodynamicien,Nm,aérodynamicienne,0,0,True,True
aéromancien,Nm,aéromancienne,0,0,True,True
aéromodéliste,Nm,aéromodéliste,1,0,True,True
aéronaute,Nm,aéronaute,1,0,True,True
aérophilatéliste,Nm,aérophilatéliste,1,0,True,True
aérostier,Nm,aérostière,0,0,True,True
affabulateur,Nm,affabulatrice,0,0,True,True
affairiste,Nm,affairiste,1,0,True,True
affaiteur,Nm,affaiteuse,0,0,True,True
affameur,Nm,affameuse,0,0,True,True
affermataire,Nm,affermataire,1,0,True,True
affermateur,Nm,affermatrice,0,0,True,True
affiant,Nm,affiante,0,0,True,True
afficheur,Nm,afficheuse,0,0,True,True
affichiste,Nm,affichiste,1,0,True,True
affident,Nm,affidente,0,0,True,True
Affieucois,Nm,Affieucoise,0,1,True,True
affileur,Nm,affileuse,0,0,True,True
affin,Nm,affine,0,0,True,True
affineur,Nm,affineuse,0,0,True,True
affinitaire,Nm,affinitaire,1,0,True,True
affirmateur,Nm,affirmatrice,0,0,True,True
affouagiste,Nm,affouagiste,1,0,True,True
Affousien,Nm,Affousienne,0,1,True,True
Affracurtien,Nm,Affracurtienne,0,1,True,True
affranchisseur,Nm,affranchisseuse,0,0,True,True
affréteur,Nm,affréteuse,0,0,True,True
affreux,Nm,affreuse,0,0,False,True
Affringuois,Nm,Affringuoise,0,1,True,True
affronteur,Nm,affronteuse,0,0,True,True
affûteur,Nm,affûteuse,0,0,True,True
africain,Nm,africaine,0,0,True,True
Africain-Américain,Nm,Africaine-Américaine,0,1,True,True
africanisant,Nm,africanisante,0,0,True,True
africaniste,Nm,africaniste,1,0,True,True
afro-américain,Nm,afro-américaine,0,0,True,True
afro-cubain,Nm,afro-cubaine,0,0,True,True
afro-descendant,Nm,afro-descendante,0,0,True,True
agaceur,Nm,agaceuse,0,0,True,True
Agassacois,Nm,Agassacoise,0,1,True,True
Agathois,Nm,Agathoise,0,1,True,True
Agelois,Nm,Ageloise,0,1,True,True
Agenais,Nm,Agenaise,0,1,True,True
agenais,Nm,agenaise,0,0,True,True
agenceur,Nm,agenceuse,0,0,True,True
Agencourtois,Nm,Agencourtoise,0,1,True,True
Agenois,Nm,Agenoise,0,1,True,True
agenouilliste,Nm,agenouilliste,1,0,True,True
agent,Nm,agente,0,0,True,True
Agenvillerois,Nm,Agenvilleroise,0,1,True,True
Agenvillois,Nm,Agenvilloise,0,1,True,True
Ageois,Nm,Ageoise,0,1,True,True
Agernynois,Nm,Agernynoise,0,1,True,True
Agevillois,Nm,Agevilloise,0,1,True,True
Ageysien,Nm,Ageysienne,0,1,True,True
Aghionais,Nm,Aghionaise,0,1,True,True
Agimontois,Nm,Agimontoise,0,1,True,True
Agincourtois,Nm,Agincourtoise,0,1,True,True
agiographe,Nm,agiographe,1,0,True,True
agioteur,Nm,agioteuse,0,0,True,True
agitateur,Nm,agitatrice,0,0,True,True
Aglatien,Nm,Aglatienne,0,1,True,True
aglutinatif,Nm,aglutinative,0,0,True,True
Agnacois,Nm,Agnacoise,0,1,True,True
Agnatois,Nm,Agnatoise,0,1,True,True
Agnelais,Nm,Agnelaise,0,1,True,True
agnelin,Nm,agneline,0,0,True,True
Agnésien,Nm,Agnésienne,0,1,True,True
Agnésois,Nm,Agnésoise,0,1,True,True
Agnessois,Nm,Agnessoise,0,1,True,True
Agnièrois,Nm,Agnièroise,0,1,True,True
Agnolais,Nm,Agnolaise,0,1,True,True
Agnosien,Nm,Agnosienne,0,1,True,True
agnosticiste,Nm,agnosticiste,1,0,True,True
Agnynois,Nm,Agnynoise,0,1,True,True
agographe,Nm,agographe,1,0,True,True
Agolosien,Nm,Agolosienne,0,1,True,True
Agonacois,Nm,Agonacoise,0,1,True,True
Agonésois,Nm,Agonésoise,0,1,True,True
Agongeois,Nm,Agongeoise,0,1,True,True
agonisant,Nm,agonisante,0,0,True,True
agoraphobe,Nm,agoraphobe,1,0,True,True
agrafeur,Nm,agrafeuse,0,0,True,True
agrairien,Nm,agrairienne,0,0,True,True
agrarien,Nm,agrarienne,0,0,True,True
Agrauletais,Nm,Agrauletaise,0,1,True,True
agrégatif,Nm,agrégative,0,0,True,True
Agrésien,Nm,Agrésienne,0,1,True,True
agresseur,Nm,agresseuse,0,0,True,True
agriculteur,Nm,agricultrice;agriculteuse,0,0,True,True
Agrifolien,Nm,Agrifolienne,0,1,True,True
agrimiste,Nm,agrimiste,1,0,True,True
agrippeur,Nm,agrippeuse,0,0,True,True
Agritois,Nm,Agritoise,0,1,True,True
agrobiologiste,Nm,agrobiologiste,1,0,True,True
agrochimiste,Nm,agrochimiste,1,0,True,True
agroforestier,Nm,agroforestière,0,0,True,True
agrographe,Nm,agrographe,1,0,True,True
agrumiculteur,Nm,agrumicultrice;agrumiculteuse,0,0,True,True
Aguessaguais,Nm,Aguessaguaise,0,1,True,True
aguicheur,Nm,aguicheuse,0,0,True,True
Aguilcourtois,Nm,Aguilcourtoise,0,1,True,True
Agussien,Nm,Agussienne,0,1,True,True
Agylien,Nm,Agylienne,0,1,True,True
Ahévillois,Nm,Ahévilloise,0,1,True,True
Ahunois,Nm,Ahunoise,0,1,True,True
ahurisseur,Nm,ahurisseuse,0,0,True,True
Aibois,Nm,Aiboise,0,1,True,True
aidant,Nm,aidante,0,0,True,True
aide-cuisinier,Nm,aide-cuisinière,0,0,True,True
aide-soignant,Nm,aide-soignante,0,0,True,True
aideur,Nm,aideuse,0,0,True,True
Aiffricain,Nm,Aiffricaine,0,1,True,True
Aigaliérois,Nm,Aigaliéroise,0,1,True,True
Aigatintien,Nm,Aigatintienne,0,1,True,True
Aiglemontais,Nm,Aiglemontaise,0,1,True,True
Aiglenois,Nm,Aiglenoise,0,1,True,True
Aiglevillois,Nm,Aiglevilloise,0,1,True,True
Aiglon,Nm,Aiglonne,0,1,True,True
aiglon,Nm,aiglonne,0,0,True,True
Aiglunais,Nm,Aiglunaise,0,1,True,True
Aignacois,Nm,Aignacoise,0,1,True,True
Aignanais,Nm,Aignanaise,0,1,True,True
Aignervillais,Nm,Aignervillaise,0,1,True,True
Aignevillois,Nm,Aignevilloise,0,1,True,True
Aignois,Nm,Aignoise,0,1,True,True
Aigouzois,Nm,Aigouzoise,0,1,True,True
Aigrefeuillais,Nm,Aigrefeuillaise,0,1,True,True
Aigremontois,Nm,Aigremontoise,0,1,True,True
Aigrinois,Nm,Aigrinoise,0,1,True,True
Aiguebellain,Nm,Aiguebellaine,0,1,True,True
Aiguebellin,Nm,Aiguebelline,0,1,True,True
Aigueblancherain,Nm,Aigueblancheraine,0,1,True,True
Aiguefondais,Nm,Aiguefondaise,0,1,True,True
Aiguepersiron,Nm,Aiguepersironne,0,1,True,True
Aiguepersois,Nm,Aiguepersoise,0,1,True,True
Aigues-Juntais,Nm,Aigues-Juntaise,0,1,True,True
Aigues-Mortais,Nm,Aigues-Mortaise,0,1,True,True
Aigues-Vivesien,Nm,Aigues-Vivesienne,0,1,True,True
Aigues-Vivois,Nm,Aigues-Vivoise,0,1,True,True
Aiguezois,Nm,Aiguezoise,0,1,True,True
Aiguilhais,Nm,Aiguilhaise,0,1,True,True
aiguillier,Nm,aiguillière,0,0,True,True
Aiguillon,Nm,Aiguillonne,0,1,True,True
Aiguillonnais,Nm,Aiguillonnaise,0,1,True,True
Aiguillonnois,Nm,Aiguillonnoise,0,1,True,True
Aiguinois,Nm,Aiguinoise,0,1,True,True
aiguiseur,Nm,aiguiseuse,0,0,True,True
Aigurandais,Nm,Aigurandaise,0,1,True,True
Ailhonnais,Nm,Ailhonnaise,0,1,True,True
ailier,Nm,ailière,0,0,True,True
Aillantais,Nm,Aillantaise,0,1,True,True
Aillassais,Nm,Aillassaise,0,1,True,True
Aillemontain,Nm,Aillemontaine,0,1,True,True
Ailleutain,Nm,Ailleutaine,0,1,True,True
Aillevanais,Nm,Aillevanaise,0,1,True,True
Aillevillerois,Nm,Aillevilleroise,0,1,True,True
Aillevillois,Nm,Aillevilloise,0,1,True,True
Aillianvillois,Nm,Aillianvilloise,0,1,True,True
Aillonais,Nm,Aillonaise,0,1,True,True
Aillonnais,Nm,Aillonnaise,0,1,True,True
Aillygeois,Nm,Aillygeoise,0,1,True,True
Aillysien,Nm,Aillysienne,0,1,True,True
Aimarguois,Nm,Aimarguoise,0,1,True,True
Aimerain,Nm,Aimeraine,0,1,True,True
aimeur,Nm,aimeuse,0,0,True,True
Aincourtois,Nm,Aincourtoise,0,1,True,True
Aineffois,Nm,Aineffoise,0,1,True,True
Aingerois,Nm,Aingeroise,0,1,True,True
Aingevillois,Nm,Aingevilloise,0,1,True,True
Aingoulaincourtois,Nm,Aingoulaincourtoise,0,1,True,True
Ainvellois,Nm,Ainvelloise,0,1,True,True
Airainois,Nm,Airainoise,0,1,True,True
Airannais,Nm,Airannaise,0,1,True,True
Airçaisien,Nm,Airçaisienne,0,1,True,True
Airien,Nm,Airienne,0,1,True,True
Airionnais,Nm,Airionnaise,0,1,True,True
Aironnois,Nm,Aironnoise,0,1,True,True
Airouxois,Nm,Airouxoise,0,1,True,True
airsofteur,Nm,airsofteuse,0,0,True,True
Airvaudais,Nm,Airvaudaise,0,1,True,True
Aischois,Nm,Aischoise,0,1,True,True
Aiseau-Preslois,Nm,Aiseau-Presloise,0,1,True,True
Aisemontois,Nm,Aisemontoise,0,1,True,True
Aitonin,Nm,Aitonine,0,1,True,True
Aixois,Nm,Aixoise,0,1,True,True
aixois,Nm,aixoise,0,0,True,True
Aizacois,Nm,Aizacoise,0,1,True,True
Aizanvillois,Nm,Aizanvilloise,0,1,True,True
Aizellois,Nm,Aizelloise,0,1,True,True
Aiziérois,Nm,Aiziéroise,0,1,True,True
Ajaccien,Nm,Ajaccienne,0,1,True,True
Ajacois,Nm,Ajacoise,0,1,True,True
ajiste,Nm,ajiste,1,0,True,True
Ajolais,Nm,Ajolaise,0,1,True,True
Ajoucien,Nm,Ajoucienne,0,1,True,True
ajouteur,Nm,ajouteuse,0,0,True,True
Ajouxois,Nm,Ajouxoise,0,1,True,True
Akkadien,Nm,Akkadienne,0,1,True,True
akkadien,Nm,akkadienne,0,0,True,True
Alabamien,Nm,Alabamienne,0,1,True,True
Alaignois,Nm,Alaignoise,0,1,True,True
Alaincourtois,Nm,Alaincourtoise,0,1,True,True
Alanais,Nm,Alanaise,0,1,True,True
alarmiste,Nm,alarmiste,1,0,True,True
Alaskain,Nm,Alaskaine,0,1,True,True
Alatais,Nm,Alataise,0,1,True,True
Albafontin,Nm,Albafontine,0,1,True,True
Albain,Nm,Albaine,0,1,True,True
albain,Nm,albaine,0,0,True,True
Albanais,Nm,Albanaise,0,1,True,True
albanais,Nm,albanaise,0,0,True,True
Albanélois,Nm,Albanéloise,0,1,True,True
albanien,Nm,albanienne,0,0,True,True
albanisant,Nm,albanisante,0,0,True,True
Albanois,Nm,Albanoise,0,1,True,True
Albapétrucien,Nm,Albapétrucienne,0,1,True,True
Albarédien,Nm,Albarédienne,0,1,True,True
Albaredois,Nm,Albaredoise,0,1,True,True
Albaretais,Nm,Albaretaise,0,1,True,True
Albaretois,Nm,Albaretoise,0,1,True,True
Albaripain,Nm,Albaripaine,0,1,True,True
Albascecois,Nm,Albascecoise,0,1,True,True
Albasois,Nm,Albasoise,0,1,True,True
Albassien,Nm,Albassienne,0,1,True,True
Albavien,Nm,Albavienne,0,1,True,True
Albégeois,Nm,Albégeoise,0,1,True,True
Albenassien,Nm,Albenassienne,0,1,True,True
Albergamentois,Nm,Albergamentoise,0,1,True,True
Albérien,Nm,Albérienne,0,1,True,True
Albertain,Nm,Albertaine,0,1,True,True
Albertin,Nm,Albertine,0,1,True,True
Albertivillarien,Nm,Albertivillarienne,0,1,True,True
Albertvillois,Nm,Albertvilloise,0,1,True,True
Albiacois,Nm,Albiacoise,0,1,True,True
Albiassain,Nm,Albiassaine,0,1,True,True
Albien,Nm,Albienne,0,1,True,True
Albiérois,Nm,Albiéroise,0,1,True,True
Albiésois,Nm,Albiésoise,0,1,True,True
Albigeois,Nm,Albigeoise,0,1,True,True
albigeois,Nm,albigeoise,0,0,True,True
Albignacois,Nm,Albignacoise,0,1,True,True
Albignolais,Nm,Albignolaise,0,1,True,True
Albignyacois,Nm,Albignyacoise,0,1,True,True
Albijohanicien,Nm,Albijohanicienne,0,1,True,True
Albillycien,Nm,Albillycienne,0,1,True,True
Albin,Nm,Albine,0,1,True,True
Albinéain,Nm,Albinéaine,0,1,True,True
Albingien,Nm,Albingienne,0,1,True,True
Albinien,Nm,Albinienne,0,1,True,True
Albinois,Nm,Albinoise,0,1,True,True
Albonnais,Nm,Albonnaise,0,1,True,True
albophobe,Nm,albophobe,1,0,True,True
Albrésois,Nm,Albrésoise,0,1,True,True
Albussacois,Nm,Albussacoise,0,1,True,True
Albygeois,Nm,Albygeoise,0,1,True,True
Alchidien,Nm,Alchidienne,0,1,True,True
Alciaquois,Nm,Alciaquoise,0,1,True,True
Alcien,Nm,Alcienne,0,1,True,True
Alcyaquois,Nm,Alcyaquoise,0,1,True,True
Aldegondois,Nm,Aldegondoise,0,1,True,True
Aldérien,Nm,Aldérienne,0,1,True,True
Aldinois,Nm,Aldinoise,0,1,True,True
Aldulais,Nm,Aldulaise,0,1,True,True
Alembonnais,Nm,Alembonnaise,0,1,True,True
Alençonnais,Nm,Alençonnaise,0,1,True,True
Alényanais,Nm,Alényanaise,0,1,True,True
aléoutien,Nm,aléoutienne,0,0,True,True
Alépin,Nm,Alépine,0,1,True,True
alépin,Nm,alépine,0,0,True,True
Alérien,Nm,Alérienne,0,1,True,True
aléseur,Nm,aléseuse,0,0,True,True
Alésien,Nm,Alésienne,0,1,True,True
Aletois,Nm,Aletoise,0,1,True,True
Alettois,Nm,Alettoise,0,1,True,True
Aleudien,Nm,Aleudienne,0,1,True,True
alevinier,Nm,alevinière,0,0,True,True
Alexandrais,Nm,Alexandraise,0,1,True,True
Alexandrin,Nm,Alexandrine,0,1,True,True
alexandrin,Nm,alexandrine,0,0,True,True
Alexinois,Nm,Alexinoise,0,1,True,True
Alexois,Nm,Alexoise,0,1,True,True
Aleyracien,Nm,Aleyracienne,0,1,True,True
alfatier,Nm,alfatière,0,0,True,True
Alfortvillais,Nm,Alfortvillaise,0,1,True,True
Algajolais,Nm,Algajolaise,0,1,True,True
Alganais,Nm,Alganaise,0,1,True,True
Alganois,Nm,Alganoise,0,1,True,True
Algardois,Nm,Algardoise,0,1,True,True
algébriste,Nm,algébriste,1,0,True,True
Algérien,Nm,Algérienne,0,1,True,True
algérien,Nm,algérienne,0,0,True,True
Algérois,Nm,Algéroise,0,1,True,True
algérois,Nm,algéroise,0,0,True,True
Algolsheimois,Nm,Algolsheimoise,0,1,True,True
algonquin,Nm,algonquine,0,0,True,True
Algrangeois,Nm,Algrangeoise,0,1,True,True
aliénataire,Nm,aliénataire,1,0,True,True
aliénateur,Nm,aliénatrice,0,0,True,True
aliéniste,Nm,aliéniste,1,0,True,True
Aliermontais,Nm,Aliermontaise,0,1,True,True
Alignanais,Nm,Alignanaise,0,1,True,True
alimenteur,Nm,alimenteuse,0,0,True,True
Alincourtois,Nm,Alincourtoise,0,1,True,True
Alincthunois,Nm,Alincthunoise,0,1,True,True
Alisien,Nm,Alisienne,0,1,True,True
Alissain,Nm,Alissaine,0,1,True,True
Alixanais,Nm,Alixanaise,0,1,True,True
Alixois,Nm,Alixoise,0,1,True,True
Allacois,Nm,Allacoise,0,1,True,True
Allainois,Nm,Allainoise,0,1,True,True
Allainvillois,Nm,Allainvilloise,0,1,True,True
Allairien,Nm,Allairienne,0,1,True,True
Allampois,Nm,Allampoise,0,1,True,True
Allanais,Nm,Allanaise,0,1,True,True
Allanchois,Nm,Allanchoise,0,1,True,True
Allasien,Nm,Allasienne,0,1,True,True
Allassacois,Nm,Allassacoise,0,1,True,True
Allaudien,Nm,Allaudienne,0,1,True,True
Allégrais,Nm,Allégraise,0,1,True,True
Alleinois,Nm,Alleinoise,0,1,True,True
Allemagnien,Nm,Allemagnienne,0,1,True,True
Allemand,Nm,Allemande,0,1,True,True
allemand,Nm,allemande,0,0,True,True
Allemansois,Nm,Allemansoise,0,1,True,True
Allemondin,Nm,Allemondine,0,1,True,True
Allencois,Nm,Allencoise,0,1,True,True
Allençonnais,Nm,Allençonnaise,0,1,True,True
Allenjoyeux,Nm,Allenjoyeuse,0,1,False,True
Allennois,Nm,Allennoise,0,1,True,True
Allenwillerois,Nm,Allenwilleroise,0,1,True,True
Allerandais,Nm,Allerandaise,0,1,True,True
allergologiste,Nm,allergologiste,1,0,True,True
Allerien,Nm,Allerienne,0,1,True,True
Allériotois,Nm,Allériotoise,0,1,True,True
Allérois,Nm,Alléroise,0,1,True,True
Alleurois,Nm,Alleuroise,0,1,True,True
Alleusien,Nm,Alleusienne,0,1,True,True
Alleutier,Nm,Alleutière,0,1,True,True
alleutier,Nm,alleutière,0,0,True,True
Allevain,Nm,Allevaine,0,1,True,True
Allevardais,Nm,Allevardaise,0,1,True,True
Allevardin,Nm,Allevardine,0,1,True,True
Allexois,Nm,Allexoise,0,1,True,True
Alleyracois,Nm,Alleyracoise,0,1,True,True
Alleyratois,Nm,Alleyratoise,0,1,True,True
Allézien,Nm,Allézienne,0,1,True,True
Alliatois,Nm,Alliatoise,0,1,True,True
Allichampenois,Nm,Allichampenoise,0,1,True,True
Alliérasois,Nm,Alliérasoise,0,1,True,True
Alliérois,Nm,Alliéroise,0,1,True,True
Allignycois,Nm,Allignycoise,0,1,True,True
Allineucois,Nm,Allineucoise,0,1,True,True
Allingeois,Nm,Allingeoise,0,1,True,True
allocataire,Nm,allocataire,1,0,True,True
allocentriste,Nm,allocentriste,1,0,True,True
allocutaire,Nm,allocutaire,1,0,True,True
allocuteur,Nm,allocutrice,0,0,True,True
Allodien,Nm,Allodienne,0,1,True,True
Allognois,Nm,Allognoise,0,1,True,True
Allondain,Nm,Allondaine,0,1,True,True
Allonnais,Nm,Allonnaise,0,1,True,True
Allonsais,Nm,Allonsaise,0,1,True,True
Allonvillois,Nm,Allonvilloise,0,1,True,True
Allonziérain,Nm,Allonziéraine,0,1,True,True
allophobe,Nm,allophobe,1,0,True,True
Allossard,Nm,Allossarde,0,1,True,True
Allouagnais,Nm,Allouagnaise,0,1,True,True
Allouestrien,Nm,Allouestrienne,0,1,True,True
Allouisien,Nm,Allouisienne,0,1,True,True
Allousien,Nm,Allousienne,0,1,True,True
Allouvillais,Nm,Allouvillaise,0,1,True,True
Alluétain,Nm,Alluétaine,0,1,True,True
Alluétais,Nm,Alluétaise,0,1,True,True
allumettier,Nm,allumettière,0,0,True,True
allumeur,Nm,allumeuse,0,0,True,True
allusionniste,Nm,allusionniste,1,0,True,True
