nm	nf	epicene	proper_noun	catégorie
allergologue	allergologue	1.0	0.0	Nm
allié	alliée	0.0	0.0	Nm
allo	allo	1.0	0.0	Nm
allobroge	allobroge	1.0	0.0	Nm
allocataire	allocataire	1.0	0.0	Nm
allocentriste	allocentriste	1.0	0.0	Nm
allochtone	allochtone	1.0	0.0	Nm
allocutaire	allocutaire	1.0	0.0	Nm
allocuteur	allocutrice	0.0	0.0	Nm
allophone	allophone	1.0	0.0	Nm
allosensible	allosensible	1.0	0.0	Nm
allosexuel	allosexuelle	0.0	0.0	Nm
allumettier	allumettière	0.0	0.0	Nm
allumeur	allumeuse	0.0	0.0	Nm
allusionniste	allusionniste	1.0	0.0	Nm
alpager	alpagère	0.0	0.0	Nm
alphabète	alphabète	1.0	0.0	Nm
alphabétiseur	alphabétiseuse	0.0	0.0	Nm
alpiniste	alpiniste	1.0	0.0	Nm
Alsacien	Alsacienne	0.0	1.0	Nm
altermondialiste	altermondialiste	1.0	0.0	Nm
alterscientifique	alterscientifique	1.0	0.0	Nm
altiste	altiste	1.0	0.0	Nm
altruiste	altruiste	1.0	0.0	Nm
amadoueur	amadoueuse	0.0	0.0	Nm
amant	amante|maîtresse	0.0	0.0	Nm
amareyeur	amareyeuse	0.0	0.0	Nm
amasseur	amasseuse	0.0	0.0	Nm
amateur	amatrice	0.0	0.0	Nm
amaurotique	amaurotique	1.0	0.0	Nm
amazighophone	amazighophone	1.0	0.0	Nm
ambassadeur	ambassadrice	0.0	0.0	Nm
ambidextre	ambidextre	1.0	0.0	Nm
ambitieux	ambitieuse	0.0	0.0	Nm
amblyope	amblyope	1.0	0.0	Nm
ambulancier	ambulancière	0.0	0.0	Nm
aménageur	aménageuse	0.0	0.0	Nm
aménagiste	aménagiste	1.0	0.0	Nm
américain	américaine	0.0	0.0	Nm
américaniste	américaniste	1.0	0.0	Nm
américanophile	américanophile	1.0	0.0	Nm
Amérindien	Amérindienne	0.0	1.0	Nm
ami	amie	0.0	0.0	Nm
amidonnier	amidonnière	0.0	0.0	Nm
amodiateur	amodiatrice	0.0	0.0	Nm
amonceleur	amonceleuse	0.0	0.0	Nm
amoraliste	amoraliste	1.0	0.0	Nm
amorceur	amorceuse	0.0	0.0	Nm
amoureux	amoureuse	0.0	0.0	Nm
ampélographe	ampélographe	1.0	0.0	Nm
amplificateur	amplificatrice	0.0	0.0	Nm
amputé	amputée	0.0	0.0	Nm
amuseur	amuseuse	0.0	0.0	Nm
analphabète	analphabète	1.0	0.0	Nm
analyste	analyste	1.0	0.0	Nm
anarchisant	anarchisante	0.0	0.0	Nm
anarchiste	anarchiste	1.0	0.0	Nm
anarcho-punk	anarcho-punk	1.0	0.0	Nm
anargyre	anargyre	1.0	0.0	Nm
ancêtre	ancêtre	1.0	0.0	Nm
ancien	ancienne	0.0	0.0	Nm
Andalou	Andalouse	0.0	1.0	Nm
andragogue	andragogue	1.0	0.0	Nm
androgyne	androgyne	1.0	0.0	Nm
andrologue	andrologue	1.0	0.0	Nm
âne	ânesse	0.0	0.0	Nm
anecdotier	anecdotière	0.0	0.0	Nm
anémique	anémique	1.0	0.0	Nm
anesthésiologiste	anesthésiologiste	1.0	0.0	Nm
anesthésiste	anesthésiste	1.0	0.0	Nm
angéliste	angéliste	1.0	0.0	Nm
angélolâtre	angélolâtre	1.0	0.0	Nm
angevin	angevine	0.0	0.0	Nm
anglais	anglaise	0.0	0.0	Nm
anglican	anglicane	0.0	0.0	Nm
angliciste	angliciste	1.0	0.0	Nm
anglo-saxon	anglo-saxonne	0.0	0.0	Nm
anglomane	anglomane	1.0	0.0	Nm
anglophile	anglophile	1.0	0.0	Nm
anglophobe	anglophobe	1.0	0.0	Nm
anglophone	anglophone	1.0	0.0	Nm
angrophobe	angrophobe	1.0	0.0	Nm
ânier	ânière	0.0	0.0	Nm
animal	animale	0.0	0.0	Nm
animalier	animalière	0.0	0.0	Nm
animaliste	animaliste	1.0	0.0	Nm
animateur	animatrice	0.0	0.0	Nm
annamite	annamite	1.0	0.0	Nm
annexionniste	annexionniste	1.0	0.0	Nm
annonceur	annonceuse	0.0	0.0	Nm
annonciateur	annonciatrice	0.0	0.0	Nm
annoncier	annoncière	0.0	0.0	Nm
annotateur	annotatrice	0.0	0.0	Nm
anoméen	anoméenne	0.0	0.0	Nm
anonyme	anonyme	1.0	0.0	Nm
anorexique	anorexique	1.0	0.0	Nm
anormal	anormale	0.0	0.0	Nm
anosmique	anosmique	1.0	0.0	Nm
anosognosique	anosognosique	1.0	0.0	Nm
antagoniste	antagoniste	1.0	0.0	Nm
antéclaviste	antéclaviste	1.0	0.0	Nm
anthologiste	anthologiste	1.0	0.0	Nm
anthropologue	anthropologue	1.0	0.0	Nm
anthropomorphiste	anthropomorphiste	1.0	0.0	Nm
anthropophage	anthropophage	1.0	0.0	Nm
anti-américain	anti-américaine	0.0	0.0	Nm
anti-malthusien	anti-malthusiene	0.0	0.0	Nm
anti-nucléaire	anti-nucléaire	1.0	0.0	Nm
anti-sarkozyste	anti-sarkozyste	1.0	0.0	Nm
anti-taurin	anti-taurine	0.0	0.0	Nm
anticatalaniste	anticatalaniste	1.0	0.0	Nm
anticolonial	anticoloniale	0.0	0.0	Nm
antiesclavagiste	antiesclavagiste	1.0	0.0	Nm
antiféministe	antiféministe	1.0	0.0	Nm
antihéros	antihéroïne	0.0	0.0	Nm
Antillais	Antillaise	0.0	1.0	Nm
antimonarchiste	antimonarchiste	1.0	0.0	Nm
antinationaliste	antinationaliste	1.0	0.0	Nm
antinomiste	antinomiste	1.0	0.0	Nm
antinucléaire	antinucléaire	1.0	0.0	Nm
antipapiste	antipapiste	1.0	0.0	Nm
antiphilosophe	antiphilosophe	1.0	0.0	Nm
antiprogressiste	antiprogressiste	1.0	0.0	Nm
antiprohibitionniste	antiprohibitionniste	1.0	0.0	Nm
antiprotectionniste	antiprotectionniste	1.0	0.0	Nm
antiquaire	antiquaire	1.0	0.0	Nm
antique	antique	1.0	0.0	Nm
antiraciste	antiraciste	1.0	0.0	Nm
antisarkozyste	antisarkozyste	1.0	0.0	Nm
antisémite	antisémite	1.0	0.0	Nm
antispiritualiste	antispiritualiste	1.0	0.0	Nm
antisystème	antisystème	1.0	0.0	Nm
antitaurin	antitaurine	0.0	0.0	Nm
antiterroriste	antiterroriste	1.0	0.0	Nm
antithéiste	antithéiste	1.0	0.0	Nm
anxieux	anxieuse	0.0	0.0	Nm
aoutien	aoutienne	0.0	0.0	Nm
aoûtien	aoûtienne	0.0	0.0	Nm
apanagiste	apanagiste	1.0	0.0	Nm
apathique	apathique	1.0	0.0	Nm
apatride	apatride	1.0	0.0	Nm
apatriote	apatriote	1.0	0.0	Nm
apériteur	apériteuse	0.0	0.0	Nm
aphake	aphake	1.0	0.0	Nm
aphasique	aphasique	1.0	0.0	Nm
aphoriste	aphoriste	1.0	0.0	Nm
apiculteur	apicultrice	0.0	0.0	Nm
apidologue	apidologue	1.0	0.0	Nm
aplanisseur	aplanisseuse	0.0	0.0	Nm
apnéiste	apnéiste	1.0	0.0	Nm
apopathodiaphulatophobe	apopathodiaphulatophobe	1.0	0.0	Nm
apoplectique	apoplectique	1.0	0.0	Nm
apostat	apostate	0.0	0.0	Nm
apothicaire	apothicairesse	0.0	0.0	Nm
apôtre	apôtresse	0.0	0.0	Nm
appareilleur	appareilleuse	0.0	0.0	Nm
apparieur	apparieuse	0.0	0.0	Nm
appelant	appelante	0.0	0.0	Nm
applaudisseur	applaudisseuse	0.0	0.0	Nm
apporteur	apporteuse	0.0	0.0	Nm
appréciateur	appréciatrice|appréciateuse	0.0	0.0	Nm
apprenant	apprenante	0.0	0.0	Nm
apprenti	apprentie	0.0	0.0	Nm
apprenti-sorcier	apprentie-sorcière	0.0	0.0	Nm
apprivoiseur	apprivoiseuse	0.0	0.0	Nm
approbateur	approbatrice|approbateuse	0.0	0.0	Nm
aquaculteur	aquacultrice	0.0	0.0	Nm
aquapuncheur	aquapuncheuse	0.0	0.0	Nm
aquarelliste	aquarelliste	1.0	0.0	Nm
aquariophile	aquariophile	1.0	0.0	Nm
aquatintiste	aquatintiste	1.0	0.0	Nm
aquoiboniste	aquoiboniste	1.0	0.0	Nm
Arabe	Arabe	1.0	1.0	Nm
arabe	arabe	1.0	0.0	Nm
arabisant	arabisante	0.0	0.0	Nm
arabophile	arabophile	1.0	0.0	Nm
arabophobe	arabophobe	1.0	0.0	Nm
arabophone	arabophone	1.0	0.0	Nm
arachnologue	arachnologue	1.0	0.0	Nm
arachnophobe	arachnophobe	1.0	0.0	Nm
araméophone	araméophone	1.0	0.0	Nm
aranéologue	aranéologue	1.0	0.0	Nm
arbalétrier	arbalétrière	0.0	0.0	Nm
arbitragiste	arbitragiste	1.0	0.0	Nm
arbitre	arbitre	1.0	0.0	Nm
arboriculteur	arboricultrice|arboriculteuse	0.0	0.0	Nm
arboriste	arboriste	1.0	0.0	Nm
archaïste	archaïste	1.0	0.0	Nm
archéologue	archéologue	1.0	0.0	Nm
archéozoologue	archéozoologue	1.0	0.0	Nm
archer	archère	0.0	0.0	Nm
archiduc	archiduchesse	0.0	0.0	Nm
archifou	archifolle	0.0	0.0	Nm
architecte	architecte	1.0	0.0	Nm
architectonographe	architectonographe	1.0	0.0	Nm
architriclin	architricline	0.0	0.0	Nm
archiviste	archiviste	1.0	0.0	Nm
arctophile	arctophile	1.0	0.0	Nm
ardélion	ardélionne	0.0	0.0	Nm
ardennais	ardennaise	0.0	0.0	Nm
areligieux	areligieuse	0.0	0.0	Nm
argentier	argentière	0.0	0.0	Nm
Argentin	Argentine	0.0	1.0	Nm
ariégeois	ariégeoise	0.0	0.0	Nm
aristocrate	aristocrate	1.0	0.0	Nm
arithméticien	arithméticienne	0.0	0.0	Nm
arlequin	arlequine	0.0	0.0	Nm
armateur	armatrice	0.0	0.0	Nm
armaturier	armaturière	0.0	0.0	Nm
arménien	arménienne	0.0	0.0	Nm
arminien	arminienne	0.0	0.0	Nm
armoricain	armoricaine	0.0	0.0	Nm
armoriste	armoriste	1.0	0.0	Nm
armurier	armurière	0.0	0.0	Nm
arnaqueur	arnaqueuse	0.0	0.0	Nm
arpenteur	arpenteuse	0.0	0.0	Nm
arpitaniste	arpitaniste	1.0	0.0	Nm
arracheur	arracheuse	0.0	0.0	Nm
arrangeur	arrangeuse	0.0	0.0	Nm
arriéré	arriérée	0.0	0.0	Nm
arrière-grand-père	arrière-grand-mère	0.0	0.0	Nm
arrière-petit-fils	arrière-petite-fille	0.0	0.0	Nm
arriériste	arriériste	1.0	0.0	Nm
arrimeur	arrimeuse	0.0	0.0	Nm
arrivant	arrivante	0.0	0.0	Nm
arrivé	arrivée	0.0	0.0	Nm
arrogant	arrogante	0.0	0.0	Nm
arrondisseur	arrondisseuse	0.0	0.0	Nm
arroseur	arroseuse	0.0	0.0	Nm
arsouille	arsouille	1.0	0.0	Nm
artificier	artificière	0.0	0.0	Nm
artilleur	artilleuse	0.0	0.0	Nm
artisan	artisane	0.0	0.0	Nm
artiste	artiste	1.0	0.0	Nm
Aryen	Aryenne	0.0	1.0	Nm
ascensionniste	ascensionniste	1.0	0.0	Nm
ascensoriste	ascensoriste	1.0	0.0	Nm
ascète	ascète	1.0	0.0	Nm
Asiate	Asiate	1.0	1.0	Nm
asiate	asiate	1.0	0.0	Nm
Asiatique	Asiatique	1.0	1.0	Nm
asiatique	asiatique	1.0	0.0	Nm
assaillant	assaillante	0.0	0.0	Nm
assassin	assassine	0.0	0.0	Nm
assassineur	assassineuse	0.0	0.0	Nm
assembleur	assembleuse	0.0	0.0	Nm
asservisseur	asservisseuse	0.0	0.0	Nm
assesseur	assesseure|assesseresse|assesseuse	0.0	0.0	Nm
assiégé	assiégée	0.0	0.0	Nm
assistant	assistante	0.0	0.0	Nm
assisté	assistée	0.0	0.0	Nm
associé	associée	0.0	0.0	Nm
assommeur	assommeuse	0.0	0.0	Nm
assortisseur	assortisseuse	0.0	0.0	Nm
assuré	assurée	0.0	0.0	Nm
assyrien	assyrienne	0.0	0.0	Nm
assyriologue	assyriologue	1.0	0.0	Nm
astineux	astineuse	0.0	0.0	Nm
astronaute	astronaute	1.0	0.0	Nm
astronauticien	astronauticienne	0.0	0.0	Nm
astrophysicien	astrophysicienne	0.0	0.0	Nm
athée	athée	1.0	0.0	Nm
athénien	athénienne	0.0	0.0	Nm
athlète	athlète	1.0	0.0	Nm
Atikamekw	Atikamekw	1.0	1.0	Nm
atomiste	atomiste	1.0	0.0	Nm
atrabilaire	atrabilaire	1.0	0.0	Nm
atramantophile	atramantophile	1.0	0.0	Nm
attaché	attachée	0.0	0.0	Nm
attacheur	attacheuse	0.0	0.0	Nm
attaquant	attaquante	0.0	0.0	Nm
attaqueur	attaqueuse	0.0	0.0	Nm
atteleur	atteleuse	0.0	0.0	Nm
attifeur	attifeuse	0.0	0.0	Nm
attrapeur	attrapeuse	0.0	0.0	Nm
aubergiste	aubergiste	1.0	0.0	Nm
audiencier	audiencière	0.0	0.0	Nm
audiophile	audiophile	1.0	0.0	Nm
auditeur	auditrice|auditeuse	0.0	0.0	Nm
auditif	auditive	0.0	0.0	Nm
augmentateur	augmentatrice	0.0	0.0	Nm
augustinien	augustinienne	0.0	0.0	Nm
aumônier	aumônière	0.0	0.0	Nm
aurignacien	aurignacienne	0.0	0.0	Nm
Austro-Hongrois	Austro-Hongroise	0.0	1.0	Nm
auteur	auteure|autrice	0.0	0.0	Nm
auteur-compositeur	auteure-compositrice	0.0	0.0	Nm
autiste	autiste	1.0	0.0	Nm
auto-sexuel	auto-sexuelle	0.0	0.0	Nm
auto-stoppeur	auto-stoppeuse	0.0	0.0	Nm
autochtone	autochtone	1.0	0.0	Nm
autocrate	autocrate	1.0	0.0	Nm
autodidacte	autodidacte	1.0	0.0	Nm
autographile	autographile	1.0	0.0	Nm
autographiste	autographiste	1.0	0.0	Nm
autographomane	autographomane	1.0	0.0	Nm
automaticien	automaticienne	0.0	0.0	Nm
automatiste	automatiste	1.0	0.0	Nm
automobiliste	automobiliste	1.0	0.0	Nm
autonomiste	autonomiste	1.0	0.0	Nm
autophage	autophage	1.0	0.0	Nm
autophile	autophile	1.0	0.0	Nm
autopsieur	autopsieuse	0.0	0.0	Nm
autoritaire	autoritaire	1.0	0.0	Nm
autosexuel	autosexuelle	0.0	0.0	Nm
autostoppeur	autostoppeuse	0.0	0.0	Nm
autrichien	autrichienne	0.0	0.0	Nm
Auvergnat	Auvergnate	0.0	1.0	Nm
auxiliaire	auxiliaire	1.0	0.0	Nm
avaleur	avaleuse	0.0	0.0	Nm
avaliste	avaliste	1.0	0.0	Nm
avant-coureur	avant-coureuse	0.0	0.0	Nm
avant-courrier	avant-courrière	0.0	0.0	Nm
avant-gardiste	avant-gardiste	1.0	0.0	Nm
avare	avare	1.0	0.0	Nm
avaricieux	avaricieuse	0.0	0.0	Nm
aventurier	aventurière	0.0	0.0	Nm
avérateur	avératrice	0.0	0.0	Nm
aveugle	aveugle	1.0	0.0	Nm
aviateur	aviatrice	0.0	0.0	Nm
aviculteur	avicultrice	0.0	0.0	Nm
avignonnais	avignonnaise	0.0	0.0	Nm
avilisseur	avilisseuse	0.0	0.0	Nm
aviophobe	aviophobe	1.0	0.0	Nm
avironneur	avironneuse	0.0	0.0	Nm
avitailleur	avitailleuse	0.0	0.0	Nm
avocassier	avocassière	0.0	0.0	Nm
avocat	avocate	0.0	0.0	Nm
avorteur	avorteuse	0.0	0.0	Nm
aztèque	aztèque	1.0	0.0	Nm
babache	babache	1.0	0.0	Nm
babacool	babacool	1.0	0.0	Nm
babillard	babillarde	0.0	0.0	Nm
babilleur	babilleuse	0.0	0.0	Nm
baby-boomeur	baby-boomeuse	0.0	0.0	Nm
baby-sitter	baby-sitter	1.0	0.0	Nm
babyboomeur	babyboomeuse	0.0	0.0	Nm
babylonien	babylonienne	0.0	0.0	Nm
babysitteur	babysitteuse	0.0	0.0	Nm
bachelier	bachelière	0.0	0.0	Nm
bachoteur	bachoteuse	0.0	0.0	Nm
bacillaire	bacillaire	1.0	0.0	Nm
bâcleur	bâcleuse	0.0	0.0	Nm
bactériologiste	bactériologiste	1.0	0.0	Nm
bactériologue	bactériologue	1.0	0.0	Nm
badaud	badaude	0.0	0.0	Nm
badigeonneur	badigeonneuse	0.0	0.0	Nm
badin	badine	0.0	0.0	Nm
badiste	badiste	1.0	0.0	Nm
bafouilleur	bafouilleuse	0.0	0.0	Nm
bâfreur	bâfreuse	0.0	0.0	Nm
bagarreur	bagarreuse	0.0	0.0	Nm
bagnard	bagnarde	0.0	0.0	Nm
baguenaudeur	baguenaudeuse	0.0	0.0	Nm
baguenaudier	baguenaudière	0.0	0.0	Nm
baigneur	baigneuse	0.0	0.0	Nm
bailleur	bailleresse	0.0	0.0	Nm
bâilleur	bâilleuse	0.0	0.0	Nm
baiseur	baiseuse	0.0	0.0	Nm
baladeur	baladeuse	0.0	0.0	Nm
baladin	baladine	0.0	0.0	Nm
balalaïkiste	balalaïkiste	1.0	0.0	Nm
Balance	Balance	1.0	1.0	Nm
balancier	balancière	0.0	0.0	Nm
balayeur	balayeuse	0.0	0.0	Nm
balbutieur	balbutieuse	0.0	0.0	Nm
baléare	baléare	1.0	0.0	Nm
baliveur	baliveuse	0.0	0.0	Nm
balletomane	balletomane	1.0	0.0	Nm
ballonnier	ballonnière	0.0	0.0	Nm
ballonniste	ballonniste	1.0	0.0	Nm
balocheur	balocheuse	0.0	0.0	Nm
balourd	balourde	0.0	0.0	Nm
baltisant	baltisante	0.0	0.0	Nm
baltringue	baltringue	1.0	0.0	Nm
baluche	baluche	1.0	0.0	Nm
bambaraphone	bambaraphone	1.0	0.0	Nm
bambocheur	bambocheuse	0.0	0.0	Nm
bamboula	bamboula	1.0	0.0	Nm
bancal	bancale	0.0	0.0	Nm
bandagiste	bandagiste	1.0	0.0	Nm
bandeur	bandeuse	0.0	0.0	Nm
banni	bannie	0.0	0.0	Nm
banqueroutier	banqueroutière	0.0	0.0	Nm
banquier	banquière	0.0	0.0	Nm
Bantou	Bantoue	0.0	1.0	Nm
baragouineur	baragouineuse	0.0	0.0	Nm
baraqué	baraquée	0.0	0.0	Nm
baratineur	baratineuse	0.0	0.0	Nm
baratteur	baratteuse	0.0	0.0	Nm
barbare	barbare	1.0	0.0	Nm
barbichu	barbichue	0.0	0.0	Nm
barbier	barbière	0.0	0.0	Nm
barboteur	barboteuse	0.0	0.0	Nm
barbouilleur	barbouilleuse	0.0	0.0	Nm
barbouze	barbouze	1.0	0.0	Nm
barbu	barbue	0.0	0.0	Nm
barde	bardesse	0.0	0.0	Nm
bardot	bardine	0.0	0.0	Nm
barguigneur	barguigneuse	0.0	0.0	Nm
barista	barista	1.0	0.0	Nm
barjot	barjot	1.0	0.0	Nm
barman	barmaid	0.0	0.0	Nm
baron	baronne	0.0	0.0	Nm
baronnet	baronnette	0.0	0.0	Nm
baroudeur	baroudeuse	0.0	0.0	Nm
barreur	barreuse	0.0	0.0	Nm
barricadeur	barricadeuse	0.0	0.0	Nm
barricadier	barricadière	0.0	0.0	Nm
bascophile	bascophile	1.0	0.0	Nm
bascophobe	bascophobe	1.0	0.0	Nm
bascophone	bascophone	1.0	0.0	Nm
basedowien	basedowienne	0.0	0.0	Nm
basketteur	basketteuse	0.0	0.0	Nm
basochien	basochienne	0.0	0.0	Nm
Basquais	Basquaise	0.0	1.0	Nm
basque	basque	1.0	0.0	Nm
basquophone	basquophone	1.0	0.0	Nm
basse-courier	basse-courière	0.0	0.0	Nm
basset	bassette	0.0	0.0	Nm
batailleur	batailleuse	0.0	0.0	Nm
bâtard	bâtarde	0.0	0.0	Nm
bateleur	bateleuse	0.0	0.0	Nm
batelier	batelière	0.0	0.0	Nm
batifoleur	batifoleuse	0.0	0.0	Nm
bâtisseur	bâtisseuse	0.0	0.0	Nm
bâtonnier	bâtonnière	0.0	0.0	Nm
