Lexème vedette,Suppr,Ajout,Corr,Fini,Genre ou variation en genre,Patron de variation du genre,Autre patron de variation,Structure morphologique,Formation morphologique,Suffixe,Classe sémantique,Sous-classe sémantique,Définition courante,Définition juridique,Contributeur ou Contributrice
accompagnateur de tourisme,,,,,V,-eur/-atrice,,P,NP,NP,N d'Agent,N de Profession ,personne qui sert de guide pour une agence de tourisme,,AA
accompagnateur de tourisme équestre,,,,,V,-eur/-atrice,,P,NP,NP,N d'Agent,N de Profession ,personne qui sert de guide lors de sorties équestres,,AA
accomplisseur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,,personne qui accomplit,,AA
acconier,,,,,M,NP,,C,Dérivation,ier,N d'Agent,N de Profession ,personne qui manœuvre/pilote un accon,,AA
accordéoniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,personne qui joue à l'accordéon,,AA
accordeur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui accorde des instruments de musique,,AA
accouchée,,,,,F,NP,,C,Conversion,ée,N d'Agent,,personne qui vient d'accoucher,,AA
accoucheur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui assiste des accouchements,,AA
accusateur,,,,,V,-eur/-atrice,,C,Dérivation,eur,N d'Agent,,personne qui accuse,personne qui porte une accusation devant un tribunal,AA
accusé,,,,,V,Autre,-é/ée,C,Conversion,é,N de Patient/Déverbal passif,,personne qui subi une accusation,"personne qui a été désigné comme étant l'auteur d'une infraction, d'un délit ou un crime",AA
acheteur,,,,,V,-eur/-euse,acheteur / acheteresse,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui achète,,AA
acheteur d'espaces publicitaires,,,,,V,-eur/-euse,,P,NP,NP,N d'Agent,N de Profession ,personne qui achète des espaces publicitaires,,AA
acheteur de composants,,,,,V,-eur/-euse,,P,NP,NP,N d'Agent,N de Profession ,personne qui achète des composants,,AA
acheteur industriel,,,,,V,-eur/-euse,,P,NP,NP,N d'Agent,N de Profession ,Personne qui fait des achats en industrie,,AA
acheteur informatique et télécom,,,,,V,-eur/-euse,,P,NP,NP,N d'Agent,N de Profession ,personne qui fait des achats en informatique et télécommunications ,,AA
acheteur-approvisionneur,,,,,V,-eur/-euse,,P,NP,NP,N d'Agent,N de Profession ,personne qui gère les stocks,,AA
acheteur-vendeur,,,,,V,-eur/-euse,,C,Composition,NP,N d'Agent,N de Profession ,personne qui fait des achats-ventes,,AA
acolyte,,,,,M,NP,,NC,NP,NP,N d'Agent,,qui est complice,,AA
acousticien,,,,,V,-en/-enne,,C,Dérivation,ien,N d'Agent,N de Profession ,qui est spécialiste en acoustique,,AA
acquéreur,,,,,V,-eur/-eresse,,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui acquiert des biens (immobiliers),,AA
acrobate,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Pratique ,personne qui fait des acrobaties,,AA
acteur,,,,,V,-eur/-atrice,,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui joue des rôles,,AA
actionnaire,,,,,E,NP,,C,Dérivation,aire,N de Possesseur,N de Profession ,personne qui possède des actions,,AA
actuaire,,,,,E,NP,,C,Dérivation,aire,N d'Agent,N de Profession ,personne qui rédige les actes,,AA
acupuncteur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui est spécialisée en acupuncture,,AA
adepte,,,,,E,NP,,NC,NP,NP,N d’Adepte/de Partisan,Membre,personne qui est membre d'un groupe,,AA
adhérent,,,,,V,-/-e,,C,NP,NP,N d'Agent,Membre,personne qui adhère à un groupe,,AA
adjoint,,,,,V,-/-e,,C,Conversion,NP,N d'Agent,N de Profession ,personne qui est associée à une autre pour l'aider,,AA
adjoint administratif,,,,,V,-/-e,,P,NP,NP,N d'Agent,N de Profession ,personne qui est associée à une autre pour faire des tâches administratives,,AA
adjoint de sécurité,,,,,V,-/-e,,P,NP,NP,N d'Agent,N de Profession ,personne qui aide pour assurer la sécurité,,AA
adjudicataire,,,,,E,NP,,C,Dérivation,aire,N de Bénéficiaire,,personne à qui on adjuge quelque chose,,AA
administrateur,,,,,V,-eur/-atrice,,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui administre,,AA
administrateur de base de données,,,,,V,-eur/-atrice,,P,NP,NP,N d'Agent,N de Profession ,personne qui administre des bases de données,,AA
ancien,,,,,V,-en/-enne,,NC,NP,NP,N de Statut,Membre,Personne qui a quitté le corps auquel elle avait appartenu,,AT
anecdotier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Pratique ,Personne qui recueille ou raconte des anecdotes,,AT
anesthésiologiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui pratique l'anesthésie sur un patient,,AT
anesthésiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui pratique l'anesthésie sur un patient,,AT
anesthésiste-réanimateur,,,,,V,-eur/-atrice,,C,Composition,NP,N d'Agent,N de Spécialité,Personne qui pratique l'anesthésie sur un patient,,AT
anglais,,,,,V,-/-e,,NC,NP,NP,N de Population (Gentilé), Pays,Personne qui a la nationalité anglaise,,AT
angliciste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui est spécialiste de la langue et la littérature anglaise,,AT
ânier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui conduit un âne,,AT
animalier,,,,,M,NP,,C,Dérivation,ier,N d'Agent,N de Créateur,Personne qui peint ou sculpte des œuvres représentant des animaux,,AT
animalier de laboratoire,,,,,V,-er/-ère,,P,NP,NP,N d'Agent,N de Profession ,Personne qui apporte un bien-être aux animaux de laboratoire et assure la prise en charge technique des expérimentations,,AT
animateur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,N de Fonction,"Personne  qui, par son tempérament, ses qualités, par son activité (souvent professionnelle) suscite auprès d'un groupe, d'un public une émulation, un intérêt, un accroissement d'activité",,AT
annaliste,,,,,M,NP,,C,Dérivation,iste,N d'Agent,N de Fonction,Personne qui rédige des annales historiques,,AT
annotateur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui annote un texte,,AT
anthologiste,,,,,M,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui est auteur d’une anthologie botanique ou litéraire,,AT
anthropologue,,,,,M,NP,,C,Emprunt,NP,N d'Agent,N de Spécialité,Personne  qui étudie l'homme selon les méthodes de l'anthropologie,,AT
anthropotomiste,,,,,M,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui dissèque des corps humains,,AT
antiquaire,,,,,M,NP,,NC,NP,NP,N d'Agent,N de Profession ,"Personne qui fait commerce de meubles, de tableaux, d'objets d'art anciens",,AT
aoutien,,,,,V,-en/-enne,,C,Dérivation,ien,N d'Agent,N de Pratique ,Personne  qui prends ses congés au mois d’août,,AT
apostat,,,,,V,-/-e,,NC,NP,NP,N d’Adepte/de Partisan,,Personne qui a rennoncé à sa foi dans l’ordre réligieux,,AT
apôtre,,,,,M,NP,,NC,NP,NP,N d’Adepte/de Partisan,,"Personne qui, par ses paroles ou son exemple, propage une doctrine, une opinion, se voue à la défense d'une cause",,AT
appelant,,,,,V,-/-e,,NC,NP,NP,N d'Agent,N de Pratique ,personne qui appelle,"Personne qui appelle d'un jugement, d'une décision de justice",AT
appelé,,,,,V,-/-e,,NC,NP,NP,N de Patient/Déverbal passif,,Personne qui est appelée,"Personne désignée par le donateur ou le testateur comme devant recueillir, au décès du donataire ou légataire, dit grevé, les biens donnés ou légués à celui-ci à charge de substitution",AT
applaudisseur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui est porté facilement à applaudir,,AT
apprenti,,,,,V,-/-e,,NC,NP,NP,N de Patient/Déverbal passif,,Personne qui apprend un métier,,AT
aquarelliste,,,,,M,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui peint à l'aquarelle,,AT
arabisant,,,,,V,-/-e,,NC,NP,NP,N d'Agent,N de Spécialité,Personne qui étudie ou qui connaît la langue et la civilisation arabes,,AT
arbitre,,,,,M,NP,,NC,NP,NP,N d'Agent,N de Fonction,Personne ou collectivité à qui son autorité naturelle ou sa puissance confère un grand pouvoir pour juger ou décider,Personne qui est agréé par les parties ou désigné par une autorité judiciaire ou consulaire pour juger et terminer un différend ou un litige,AT
arboriculteur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui s'occupe par profession d'arboriculture,,AT
archéologue,,,,,M,NP,,C,Emprunt,NP,N d'Agent,N de Spécialité,Personne qui s'occupe d'archéologie,,AT
archer,,,,,V,-er/-ère,,C,Dérivation,er,N d'Agent,N de Pratique ,Personne qui tire à l'arc,,AT
archevêque,,,,,M,NP,,C,Emprunt,NP,N de Statut,Grade,Évêque placé à la tête des évêques d'une province ecclésiastique,,AT
architecte,,,,,M,NP,,C,Emprunt,NP,N d'Agent,N de Profession ,Personne qui exerce l'art de l'architecture,,AT
architecte de réseau télécoms,,,,,M,NP,,P,NP,NP,N d'Agent,N de Profession ,"Personne qui gère les composantes du réseau de télécommunications d’une entreprise ou d’un opérateur, en répondant aux exigences demandées",,AT
architecte-paysagiste,,,,,M,NP,,P,Composition,NP,N d'Agent,N de Profession ,"Personne qui est Ingénieur agronome, ou agricole, parfois architecte, spécialisé dans la conception des jardins d'agrément",,AT
archiviste,,,,,M,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui garde des archives,,AT
ardennais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé),Région ,Personne qui habite ou qui est originaire des Ardennes,,AT
ariégeois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé),Région ,Personne qui habite au département de l'Ariège,,AT
arrière-grand-parent,,,,,M,NP,,P,Composition,NP,N Relationnel ,Parenté,Personne qui est parent des grand-parents,,AT
arrière-grand-père,,,,,M,NP,,P,Composition,NP,N Relationnel ,Parenté,Personne qui est le père d'un grand-parents,,AT
arrière-petit-enfant,,,,,M,NP,,P,Composition,NP,N Relationnel ,Parenté,un enfant d'un des petits-enfants d'une personne,,AT
arrière-petite-fille,,,,,F,NP,,P,Composition,NP,N Relationnel ,Parenté,La fille d'un des petits-enfants d'une personne,,AT
assassin,,,,,V,-/-e,,C,Emprunt,NP,N d'Agent,N de Pratique ,Personne qui commet un homicide,,AT
assesseur,,,,,M,NP,,C,Emprunt,NP,N d'Agent,N de Fonction,Personne qui siège à côté d'une autre personne pour l'assister dans ses fonctions et au besoin la suppléer,Officier de justice dont les fonctions consistent à assister un juge et à délibérer éventuellement avec lui,AT
athénien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Athènes,,AT
athlète,,,,,M,NP,,NC,NP,NP,N d'Agent,N de Pratique ,Personne qui pratique une activité sportive (généralement un sport individuel),,AT
autrichien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Pays,Personne qui habite en Autriche,,AT
baby-sitter,,,,,V,NP,-er/-euse,C,Emprunt,NP,N d'Agent,N de Profession ,Personne payée par les parents pour garder les enfants en leur absence pour une courte durée.,,BA
bachelier,,,,,V,-er/-ère,,C,Conversion,NP,N de Statut,,Personne diplômée au baccalauréat. ,,BA
bachoteur,,,,,V,-eur/-euse,,C,Conversion,NP,N d'Agent,N de Pratique ,Personne préparant un examen.,,BA
bâcleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui bâcle quelque chose.,,BA
bactériologiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui s’occupe de bactériologie.,,BA
bactériologue,,,,,E,NP,,C,Dérivation,NP,N d'Agent,N de Spécialité,Personne qui étudie les bactéries.,,BA
badigeonneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Ouvrier chargé de badigeonner.,,BA
badiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,Joueur de badminton.,,BA
badiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,Joueur -euse de badminton,,BA
bafoueur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui bafoue.,,BA
bafouiilleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N d’Interprète,"Personne qui s’exprime d’une façon confuse, incohérente, embarrassée.",,BA
bâfreur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,"Personne qui mange beaucoup, et avec excès.",,BA
bagagiste,,,,,M,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Employé auquel est confiée la manutention des bagages des voyageurs.,,BA
baguenaudeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Celui -celle qui s'amuse à des bagatelles; insouciant.,,BA
baguenaudier,,,,,V,Autre,"-ier, -ière",C,Dérivation,ier,N d'Agent,,"Celui qui baguenaude, s'amuse à des choses de peu d'importance.",,BA
bailleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Celui qui donne (ancien).,,BA
bâilleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui ouvre involontairement la bouche en inspirant profondément et en contractant les muscles du visage.,,BA
bailleur de fond,,,,,V,-eur/-euse,,P,NP,NP,N d'Agent,N de Profession ,"Personne qui fournit de l'argent, comme prêteur ou commanditaire",,BA
balance,,,,,F,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,Dénonciateur,,BA
batelier,,,,,V,Autre," -ier, -ière",C,Dérivation,ier,N d'Agent,N de Profession ,"Personne dont la profession est de conduire un bateau, principalement sur une rivière.",,BA
baudelairien,,,,,V,Autre,"-ien, -ienne",C,Dérivation,ien,N d’Adepte/de Partisan,,Personne qui aime passionnément les œuvres de Baudelaire.,,BA
Bavarois,,,,,V,Autre,"-ois, -oise",C,Dérivation,ois,N de Population (Gentilé),Région ,Habitant de Bavière.,,BA
Bayonnais,,,,,V,Autre,"-ais, -aise",C,Dérivation,ais,N de Population (Gentilé), Ville,Habitant de Bayonne.,,BA
beaux-parents,,,,,M,NP,,C,Composition,NP,N Relationnel ,Parenté,Parents du - de la conjoint-e.,,BA
bébé,,,,,E,NP,,C,Réduplication,NP,N d’Âge,,"Très jeune enfant, nourrisson, qui n’a pas atteint l’âge du sevrage. ",,BA
belle-famille,,,,,F,NP,,C,Composition,NP,N Relationnel ,Parenté,La famille du - de la conjoint-e.,,BA
benjamin,,,,,V,Autre,"-in, -ine",NC,NP,NP,N Relationnel ,Parenté,Le plus jeune des enfants d'une famille .,,BA
biologiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Spécialiste en biologie.,,BA
biologiste en environnement,,,,,E,NP,,P,NP,NP,N d'Agent,N de Spécialité,Spécialiste en biologie environnementale.,,BA
biologue,,,,,E,NP,,C,Dérivation,NP,N d'Agent,N de Spécialité,Ancien forme de biologiste.,,BA
Birman,,,,,V,-/-e,,C,Conversion,NP,N de Population (Gentilé), Pays,Personne née ou habitant en Birmanie.,,BA
Biscaïen,,,,,V,Autre,"-ien, -ienne",C,Dérivation,ien,N de Population (Gentilé),Région ,Personne née ou habitant dans la région espagnole de Biscaye.,,BA
blessé,,,,,V,-/-e,,C,Conversion,NP,N de Caractérisant,,Personne qui est atteinte d'une blessure.,,BA
blond,,,,,V,-/-e,,NC,Conversion,NP,N de Caractérisant,,Personne dont les cheveux sont blonds.,,BA
Bohême,,,,,E,NP,,NC,Conversion,NP,N de Population (Gentilé),,Habitant de la Bohême; qui est de la Bohême.,,BA
boit-sans-soif,,,,,M,NP,,C,Composition,NP,N de Caractérisant,,"Personne qui boit outre mesure, soiffard.",,BA
bookmaker,,,,,M,NP,,NC,Emprunt,NP,N d'Agent,,"Personne qui fait métier de recevoir des joueurs, des paris à la cote qu'elle enregistre sur un livre.",,BA
boolâtre,,,,,M,NP,,C,Dérivation,âtre,N d’Adepte/de Partisan,,Qui voue un  culte aux bœufs.,,BA
botaniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui s'intéresse ou est spécialiste en botanique.,,BA
boulimique,,,,,E,NP,,C,Dérivation,NP,N de Caractérisant,,Personne atteinte de boulimie.,,BA
bourgeois,,,,,V,-/-e,,C,Dérivation,ois,N de Statut,,Membre de la classe sociale qui détient les moyens de production économique et culturelle.,,BA
broussard,,,,,V,Autre,"-ard, -arde",C,Dérivation,ard,N d’Habitant,,Habitant-e de la brousse.,,BA
Brugeois,,,,,V,Autre,"-ois, -oise",C,Dérivation,ois,N de Population (Gentilé), Ville,Personne née ou habitant à Bruges.,,BA
Bulgare,,,,,E,NP,,NC,NP,NP,N de Population (Gentilé), Pays,Personne née ou habitant en Bulgarie.,,BA
cadre,,,,,E,NP,,NC,NP,NP,N de Statut,Grade,Personne qui exerce une fonction d'encadrement ou de management au sein d'une entreprise ou d'une organisation ,Personne qui occupe une position élevée dans une classification d'emplois en raison de ses compétences et attributions,BG
candidat,,,,,V,-/-e,,NC,NP,NP,N d'Agent,,Personne qui se présente à un processus de sélection en vue d'occuper une fonction ou d'obtenir un titre ou une distinction,,BG
capitaine,,,,,E,NP,,NC,NP,NP,N de Statut,Grade,Personne qui dirige une équipe,,BG
capitaliste,,,,,E,NP,,C,Dérivation,iste,N de Statut,,Personne qui possède un capital et/ou des moyens de production et qui entend en tirer un profit,,BG
cariste,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Profession ,Personne qui conduit un engin de manutention,,BG
casseur,,,,,V,-eur/-euse,,NC,Dérivation,eur,N d'Agent,,Personne qui sème le trouble durant une manifestation ou encore une rencontre sportive,,BG
caution,,,,,F,NP,,NC,NP,NP,N Relationnel ,,Personne qui garantit l'action d'une autre,Personne qui s'engage à satisfaire un créancier en cas de défaillance du débiteur principal,BG
chauffeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui conduit un véhicule automobile,,BG
chef,,,,,M,NP,,NC,NP,NP,N Relationnel ,Grade,Personne qui dirige un groupe de personne,,BG
chef d'entreprise,,,,,E,NP,,P,NP,NP,N d'Agent,N de Profession ,personne qui dirige une entreprise,personne physique qui exerce par représentation ou non les pouvoirs reconnus à l'employeur au sein d'une entreprise,BG
cheminot,,,,,V,-o/-ote,,C,Dérivation,ot,N d'Agent,N de Profession ,Personne qui travail dans le secteur du chemin de fer,,BG
chercheur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui accomplit à titre professionnel des missions dans le domaine de la recherche scientifique,,BG
chroniqueur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Fonction,Personne qui est chargée au sein d'un journal ou d'une revue ou encore d'une émission d'aborder de manière régulière des sujets relevant d'une même thématique,,BG
citoyen,,,,,V,-en/-enne,,C,Dérivation,ien,N de Statut,Membre,Personne qui est membre d'une communauté politiquement reconnue et structurée,,BG
civiliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui se spécialise dans la pratique ou l'étude du droit civil,,BG
client,,,,,V,-/-e,,NC,NP,NP,N Relationnel ,,Personne qui achète un bien ou un service dans le cadre d'une relation commerciale,Personne qui achète un bien ou qui bénéfice d'un service auprès d'un professionnel,BG
cocontractant,,,,,V,-/-e,,C,Dérivation,ant,N Relationnel ,,personne qui conclut un contrat avec une autre,personne qui est liée à une autre par un contrat,BG
codeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui écrit un programme informatique en langage machine.,,JPM
coéquipier,,,,,V,-er/-ère,,C,Dérivation,ier,N Relationnel ,,Personne qui fait équipe avec une ou plusieurs autres personnes,,BG
colistier,,,,,V,-er/-ère,,C,Dérivation,ier,N Relationnel ,,Personne qui est inscrite d'autres sur une même liste électorale,,BG
commanditaire,,,,,M,NP,,C,Dérivation,aire,N Relationnel ,Société,Personne qui finance une autre pour qu'elle exécute sa commande,Personne qui s'associe à d'autres commanditaires et commandités dans une société en commandite en apportant des fonds mais sans pouvoir prendre des actes de gestion externe et en étant responsable que dans la limite de ses apports,BG
commettant,,,,,M,NP,,NC,Dérivation,ant,N Relationnel ,,Personne qui confie à une autre la gestion de ses affaires,Personne qui est responsable civilement des dommages causés par le préposé dont elle dirige et contrôle l'activité,BG
comparatiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui est spécialiste d'une discipline savante mettant en oeuvre une méthode comparative,,BG
compatriote,,,,,E,NP,,C,Dérivation,ote,N Relationnel ,Société,Personne qui partage la même nationalité avec une autre personne,,BG
complice,,,,,E,NP,,NC,NP,NP,N Relationnel ,,Personne qui s'associe à une autre pour accomplir un acte répréhensible,Personne qui a sciemment facilité la préparation ou la consommation d'un crime ou d'un délit ou encore qui a provoqué une infraction ou donné des instructions pour la commettre ,BG
concubin,,,,,V,-/-e,,NC,NP,NP,N Relationnel ,,Personne qui partage la vie d'une autre sans être mariée avec elle,Personne vivant en couple avec une autre sur la base d'une union de fait présentant un caractère de stabilité et de continuité,BG
conducteur,,,,,V,-eur/-rice,,C,Dérivation,teur,N d'Agent,N de Pratique ,personne qui dirige un véhicule,personne qui maîtrise un véhicule terrestre à moteur,BG
congressiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,Personne qui participe à un congrès,,BG
consommateur,,,,,V,-eur/-rice,,C,Dérivation,ateur,N Relationnel ,,Personne qui utilise un service ou bien de consommation,Personne physique qui agit à des fins qui n'entrent pas dans le cadre de son activité professionnelle,BG
constitutionnaliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui se spécialise dans la pratique ou l'étude du droit constitutionnel,,BG
continuateur,,,,,V,-eur/-rice,,C,Dérivation,ateur,N Relationnel ,,Personne qui prolonge l'action ou l'oeuvre d'une autre,Personne qui a accepté la succession d'une personne défunte dont elle est l'héritier,BG
contractant,,,,,V,-/-e,,C,Dérivation,ant,N Relationnel ,,Personne qui conclut un contrat avec une autre,Personne qui possède la qualité de partie à un contrat,BG
contractuel,,,,,V,-el/-elle,,C,Dérivation,el,N d'Agent,N de Profession ,Personne qui relève les infractions aux règles de stationnement,Personne qui est recrutée par contrat comme agent d'un service public ,BG
contresignataire,,,,,E,NP,,C,Dérivation,aire,N d'Agent,,Personne qui appose sa signature sur un document déjà signé par une première personne en vue de l'attester,Personne qui est investie d'un pouvoir ou d'un devoir de signer un acte juridique déjà signé par l'auteur de cet acte. ,BG
criminel,,,,,V,-el/-elle,,C,Dérivation,el,N d'Agent,,Personne qui a commis un crime,,BG
dactylographe,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,Personne qui transcrit des textes à la machine,,CS
dalleur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,qui pose les dalles,,CS
damasquineur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,Qui exécute des damasquinages,,CS
damnateur,,,,,V,-eur/-atrice,,C,Dérivation,ateur,N d'Agent,N de Défaut moral,qui damne,,CS
damné,,,,,V,-/-e,,C,Conversion,é,N de Caractérisant,N de Défaut moral,"qui est maudit, qui est rejeté",,CS
danois,,,,,V,Autre,,C,Dérivation,ois,N de Population (Gentilé), Pays,qui habite/est originaire du Danemark,,CS
danseur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,qui exerce la danse,,CS
daubeur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Défaut moral,qui médit,,CS
dealer,,,,,V,-eur/-euse,,C,Emprunt,eur,N d'Agent,N de Profession ,qui revend de la drogue,,CS
décadent,,,,,V,-/-e,,C,Conversion,NP,N d’Adepte/de Partisan,Membre,qui est membre du mouvement littéraire et philosophique « décadent » de la fin du xixesiècle,,CS
déchiffreur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,qui déchiffre qqchose,,CS
décisionnaire,,,,,E,NP,,C,Dérivation,aire,N d'Agent,N de Fonction,qui exerce un pouvoir dé décision,,CS
découvreur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Créateur,qui découvre,,CS
décrétaliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,"qui est spécialiste de droit canon, qui est constitué principalement du Décret de Gratien et de Décrétales des Papes","qui est pécialiste de droit canon, qui est constitué principalement du Décret de Gratien et de Décrétales des Papes",CS
décrétiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,"qui est spécialiste de droit canon, qui est constitué principalement du Décret de Gratien et de Décrétales des Papes","qui est spécialiste de droit canon, qui est constitué principalement du Décret de Gratien et de Décrétales des Papes",CS
dédicataire,,,,,E,NP,,C,Dérivation,aire,N de Bénéficiaire,,A qui est dédié un ouvrage/est destinée la dédicace de cet ouvrage,,CS
déficient,,,,,V,-/-e,,C,Conversion,NP,Autre,,"Qui présente une insuffisance mentale, motrice ou sensorielle",,CS
dégonflard,,,,,V,-/-e,,C,Dérivation,ard,N de Caractérisant,N de Défaut moral,"Qui manque de détermination, de courage ou d'audace au moment d'agir",,CS
dégonflé,,,,,V,-/-e,,C,Dérivation,é,N de Caractérisant,N de Défaut moral,"Qui manque de détermination, de courage ou d'audace au moment d'agir",,CS
délateur,,,,,V,-eur/-rice,,C,Dérivation,ateur,N d'Agent,N de Pratique ,"qui dénonce pour des motifs méprisables
",,CS
