id,coll_noun,member_noun_sg,member_noun_pl,coll_noun_g,coll_noun_n,src
56,milice,milicien,miliciens,f,s,Lecolle
57,milice,soldat,soldats,f,s,Lecolle
58,opposition,opposant,opposants,f,s,Lecolle
59,parlement,député,députés,m,s,Lecolle
60,patientèle,patient,patients,f,s,Lecolle
61,parquet,magistrat,magistrats,m,s,Lecolle
62,public,spectateur,spectateurs,m,s,Lecolle
63,parti,partisan,partisans,m,s,Lecolle
64,patronat,patron,patrons,m,s,Lecolle
65,paysannerie,paysan,paysans,f,s,Lecolle
66,personnel,employé,employés,m,s,Lecolle
67,plèbe,plébéien,plébéiens,f,s,Lecolle
68,rédaction,rédacteur,rédacteurs,f,s,Lecolle
69,résistance,résistant,résistants,f,s,Lecolle
70,salariat,salarié,salariés,m,s,Lecolle
71,secte,sectateur,sectateurs,f,s,Lecolle
72,sénat,sénateur,sénateurs,m,s,Lecolle
73,voisinage,voisin,voisins,m,s,Lecolle
74,aristocratie,aristocrate,aristocrates,f,s,Lecolle
75,avant-garde,avant-gardiste,avant-gardistes,f,s,Lecolle
76,bureaucratie,bureaucrate,bureaucrates,f,s,Lecolle
77,carmel,carmélite,carmélites,m,s,Lecolle
78,chœur,choriste,choristes,m,s,Lecolle
79,clergé,ecclésiastique,ecclésiastiques,m,s,Lecolle
80,commission,commissaire,commissaires,f,s,Lecolle
81,cordée,alpiniste,alpinistes,f,s,Lecolle
82,domesticité,domestique,domestiques,f,s,Lecolle
83,enfance,enfant,enfants,f,s,Lecolle
84,francophonie,francophone,francophones,f,s,Lecolle
85,jésuiterie,jésuite,jésuites,f,s,Lecolle
86,jeunesse,jeune,jeunes,f,s,Lecolle
87,légion,légionnaire,légionnaires,f,s,Lecolle
88,ministraille,ministre,ministres,f,s,Lecolle
89,prolétariat,prolétaire,prolétaires,m,s,Lecolle
90,mission,missionnaire,missionnaires,f,s,Lecolle
91,noblesse,noble,nobles,f,s,Lecolle
92,oligarchie,oligarque,oligarques,f,s,Lecolle
93,parlement,parlementaire,parlementaires,m,s,Lecolle
94,parquet,magistrat,magistrats,m,s,Lecolle
95,ploutocratie,ploutocrate,ploutocrates,f,s,Lecolle
96,prêtraille,prêtre,prêtres,f,s,Lecolle
97,phalange,phalangiste,phalangistes,f,s,Lecolle
98,procession,processionnaire,processionnaires,f,s,Lecolle
99,rabbinat,rabbin,rabbins,m,s,Lecolle
100,réserve,réserviste,réservistes,f,s,Lecolle
101,rébellion,rebelle,rebelles,f,s,Lecolle
102,université,universitaire,universitaires,f,s,Lecolle
103,société,sociétaire,sociétaires,f,s,Lecolle
104,tablée,convive,convives,f,s,Lecolle
105,valetaille,valet,valets,f,s,Lecolle
106,armée,lieutenant,lieutenants,f,s,Custom
107,régiment,soldat,soldats,m,s,Custom
108,campagne,campagnard,campagnards,f,s,Custom
109,ruralité,rural,ruraux,f,s,Custom
110,clergé,homme d'Église,hommes d'Église,m,s,Custom
111,assistance,assistant,assistants,f,s,Custom
112,spectatorat,spectateur,spectateurs,m,s,Custom
113,concurrence,rival,rivaux,f,s,Custom
114,concurrence,prétendant,prétendants,f,s,Custom
115,opposition,concurrent,concurrents,f,s,Custom
116,opposition,rival,rivaux,f,s,Custom
117,opposition,pourfendeur,pourfendeurs,f,s,Custom
118,rébellion,révolté,révoltés,f,s,Custom
119,présidence,président,présidents,f,s,Custom
120,gouvernement,gouvernant,gouvernants,m,s,Custom
121,monarchie,roi,rois,f,s,Custom
122,princerie,prince,princes,f,s,Custom
123,mécenat,donateur,donateurs,m,s,Custom
124,mécenat,généreux,généreux,m,s,Custom
125,forces de l'ordre,policier,policiers,f,p,Custom
126,autorat,auteur,auteurs,m,s,Custom
127,autorat,écrivain,écrivains,m,s,Custom
128,main-d’œuvre,ouvrier,ouvriers,f,s,Custom
129,garde,gardien,gardiens,f,s,Custom
130,grand âge,vieux,vieux,m,s,Custom
131,grand âge,aïeul,aïeux,m,s,Custom
132,vieillesse,vieux,vieux,f,s,Custom
133,vieillesse,aïeul,aïeux,f,s,Custom
134,jeunesse,adolescent,adolescents,f,s,Custom
135,représentation,représentant,représentants,f,s,Custom
136,association,associé,associés,f,s,Custom
137,professorat,professeur,professeurs,m,s,Custom
138,enseignement,professeur,professeurs,m,s,Custom
139,modération,modérateur,modérateurs,f,s,Custom
140,royaume,roi,rois,m,s,Custom
141,humanité,homme,hommes,f,s,Custom
142,succession,successeur,successeurs,f,s,Custom
143,direction,dirigeant,dirigeants,f,s,Custom
144,citoyenneté,citoyen,citoyens,f,s,Custom
145,empire,empereur,empereurs,f,s,Custom
146,souveraineté,souverain,souverains,f,s,Custom
147,fanclub,supporter,supporters,m,s,Custom
148,adygophonie,adygophone,adygophones,f,s,Custom
149,afarophonie,afarophone,afarophones,f,s,Custom
150,afrophonie,afrophone,afrophones,f,s,Custom
151,aïnouphonie,aïnouphone,aïnouphones,f,s,Custom
152,albanophonie,albanophone,albanophones,f,s,Custom
153,algérophonie,algérophone,algérophones,f,s,Custom
154,alsacophonie,alsacophone,alsacophones,f,s,Custom
155,allophonie,allophone,allophones,f,s,Custom
156,amazighophonie,amazighophone,amazighophones,f,s,Custom
157,amharophonie,amharophone,amharophones,f,s,Custom
158,anglophonie,anglophone,anglophones,f,s,Custom
159,arabophonie,arabophone,arabophones,f,s,Custom
160,araméophonie,araméophone,araméophones,f,s,Custom
161,arménophonie,arménophone,arménophones,f,s,Custom
162,aroumanophonie,aroumanophone,aroumanophones,f,s,Custom
163,assamophonie,assamophone,assamophones,f,s,Custom
164,aymarophonie,aymarophone,aymarophones,f,s,Custom
165,azérophonie,azérophone,azérophones,f,s,Custom
166,bahasophonie,bahasophone,bahasophones,f,s,Custom
167,baltophonie,baltophone,baltophones,f,s,Custom
168,bambaraphonie,bambaraphone,bambaraphones,f,s,Custom
169,bantouphonie,bantouphone,bantouphones,f,s,Custom
170,bascophonie,bascophone,bascophones,f,s,Custom
171,bedjaphonie,bedjaphone,bedjaphones,f,s,Custom
172,bengalophonie,bengalophone,bengalophones,f,s,Custom
173,biélorussophonie,biélorussophone,biélorussophones,f,s,Custom
174,birmanophonie,birmanophone,birmanophones,f,s,Custom
175,bosnophonie,bosnophone,bosnophones,f,s,Custom
176,brittophonie,brittophone,brittophones,f,s,Custom
177,bulgarophonie,bulgarophone,bulgarophones,f,s,Custom
178,cantonophonie,cantonophone,cantonophones,f,s,Custom
179,catalanophonie,catalanophone,catalanophones,f,s,Custom
180,cebuanophonie,cebuanophone,cebuanophones,f,s,Custom
181,cingalophonie,cingalophone,cingalophones,f,s,Custom
182,comorophonie,comorophone,comorophones,f,s,Custom
183,coptophonie,coptophone,coptophones,f,s,Custom
184,coréanophonie,coréanophone,coréanophones,f,s,Custom
185,cornicophonie,cornicophone,cornicophones,f,s,Custom
186,corsophonie,corsophone,corsophones,f,s,Custom
187,créolophonie,créolophone,créolophones,f,s,Custom
188,croatophonie,croatophone,croatophones,f,s,Custom
189,cymrophonie,cymrophone,cymrophones,f,s,Custom
190,dalmatophonie,dalmatophone,dalmatophones,f,s,Custom
191,danophonie,danophone,danophones,f,s,Custom
192,dariphonie,dariphone,dariphones,f,s,Custom
193,espérantophonie,espérantophone,espérantophones,f,s,Custom
194,estonophonie,estonophone,estonophones,f,s,Custom
195,étruscophonie,étruscophone,étruscophones,f,s,Custom
196,europhonie,europhone,europhones,f,s,Custom
197,éwéphonie,éwéphone,éwéphones,f,s,Custom
198,finnophonie,finnophone,finnophones,f,s,Custom
199,flamandophonie,flamandophone,flamandophones,f,s,Custom
200,foulaphonie,foulaphone,foulaphones,f,s,Custom
201,frisophonie,frisophone,frisophones,f,s,Custom
202,galaïcophonie,galaïcophone,galaïcophones,f,s,Custom
203,gascophonie,gascophone,gascophones,f,s,Custom
204,gaélophonie,gaélophone,gaélophones,f,s,Custom
205,germanophonie,germanophone,germanophones,f,s,Custom
206,grécophonie,grécophone,grécophones,f,s,Custom
207,groenlandophonie,groenlandophone,groenlandophones,f,s,Custom
208,guaranophonie,guaranophone,guaranophones,f,s,Custom
209,haoussaphonie,haoussaphone,haoussaphones,f,s,Custom
210,hawaïophonie,hawaïophone,hawaïophones,f,s,Custom
211,hébréophonie,hébréophone,hébréophones,f,s,Custom
212,hindiphonie,hindiphone,hindiphones,f,s,Custom
213,hispanophonie,hispanophone,hispanophones,f,s,Custom
214,ibérophonie,ibérophone,ibérophones,f,s,Custom
215,indophonie,indophone,indophones,f,s,Custom
216,inuitophonie,inuitophone,inuitophones,f,s,Custom
217,iranophonie,iranophone,iranophones,f,s,Custom
218,islandophonie,islandophone,islandophones,f,s,Custom
219,italophonie,italophone,italophones,f,s,Custom
220,japonophonie,japonophone,japonophones,f,s,Custom
221,javanophonie,javanophone,javanophones,f,s,Custom
222,kabylophonie,kabylophone,kabylophones,f,s,Custom
223,kannadophonie,kannadophone,kannadophones,f,s,Custom
224,kazakhophonie,kazakhophone,kazakhophones,f,s,Custom
225,khmerophonie,khmerophone,khmerophones,f,s,Custom
226,kikuyuphonie,kikuyuphone,kikuyuphones,f,s,Custom
227,kirghizophonie,kirghizophone,kirghizophones,f,s,Custom
228,kurdophonie,kurdophone,kurdophones,f,s,Custom
229,ladinophonie,ladinophone,ladinophones,f,s,Custom
230,laophonie,laophone,laophones,f,s,Custom
231,latinophonie,latinophone,latinophones,f,s,Custom
232,lettophonie,lettophone,lettophones,f,s,Custom
233,lingalaphonie,lingalaphone,lingalaphones,f,s,Custom
234,lithuanophonie,lithuanophone,lithuanophones,f,s,Custom
235,lubaphonie,lubaphone,lubaphones,f,s,Custom
236,luophonie,luophone,luophones,f,s,Custom
237,lusophonie,lusophone,lusophones,f,s,Custom
238,luxembourgophonie,luxembourgophone,luxembourgophones,f,s,Custom
239,macédophonie,macédophone,macédophones,f,s,Custom
240,madurophonie,madurophone,madurophones,f,s,Custom
241,magyarophonie,magyarophone,magyarophones,f,s,Custom
242,malayophonie,malayophone,malayophones,f,s,Custom
243,malgachophonie,malgachophone,malgachophones,f,s,Custom
244,maltophonie,maltophone,maltophones,f,s,Custom
245,mandarinophonie,mandarinophone,mandarinophones,f,s,Custom
246,mandingophonie,mandingophone,mandingophones,f,s,Custom
247,mannophonie,mannophone,mannophones,f,s,Custom
248,marathophonie,marathophone,marathophones,f,s,Custom
249,moldavophonie,moldavophone,moldavophones,f,s,Custom
250,mongolophonie,mongolophone,mongolophones,f,s,Custom
251,nahuatlophonie,nahuatlophone,nahuatlophones,f,s,Custom
252,néerlandophonie,néerlandophone,néerlandophones,f,s,Custom
253,népalophonie,népalophone,népalophones,f,s,Custom
254,nippophonie,nippophone,nippophones,f,s,Custom
255,norrophonie,norrophone,norrophones,f,s,Custom
256,norvégophonie,norvégophone,norvégophones,f,s,Custom
257,occitanophonie,occitanophone,occitanophones,f,s,Custom
258,oromophonie,oromophone,oromophones,f,s,Custom
259,ourdouphonie,ourdouphone,ourdouphones,f,s,Custom
260,ouzbekophonie,ouzbekophone,ouzbekophones,f,s,Custom
261,pachtophonie,pachtophone,pachtophones,f,s,Custom
262,pendjabophonie,pendjabophone,pendjabophones,f,s,Custom
263,picardophonie,picardophone,picardophones,f,s,Custom
264,pictophonie,pictophone,pictophones,f,s,Custom
265,polonophonie,polonophone,polonophones,f,s,Custom
266,quechuaphonie,quechuaphone,quechuaphones,f,s,Custom
267,roumanophonie,roumanophone,roumanophones,f,s,Custom
268,russophonie,russophone,russophones,f,s,Custom
269,ruthénophonie,ruthénophone,ruthénophones,f,s,Custom
270,rwandophonie,rwandophone,rwandophones,f,s,Custom
271,sanskritophonie,sanskritophone,sanskritophones,f,s,Custom
272,sardophonie,sardophone,sardophones,f,s,Custom
273,scotophonie,scotophone,scotophones,f,s,Custom
274,serbophonie,serbophone,serbophones,f,s,Custom
275,siamophonie,siamophone,siamophones,f,s,Custom
276,sicilophonie,sicilophone,sicilophones,f,s,Custom
277,sinophonie,sinophone,sinophones,f,s,Custom
278,slavophonie,slavophone,slavophones,f,s,Custom
279,slovacophonie,slovacophone,slovacophones,f,s,Custom
280,slovénophonie,slovénophone,slovénophones,f,s,Custom
281,somalophonie,somalophone,somalophones,f,s,Custom
282,sothophonie,sothophone,sothophones,f,s,Custom
283,soundanophonie,soundanophone,soundanophones,f,s,Custom
284,suédophonie,suédophone,suédophones,f,s,Custom
285,swahiliphonie,swahiliphone,swahiliphones,f,s,Custom
286,swatiphonie,swatiphone,swatiphones,f,s,Custom
287,tadjikophonie,tadjikophone,tadjikophones,f,s,Custom
288,tagalophonie,tagalophone,tagalophones,f,s,Custom
289,tahitianophonie,tahitianophone,tahitianophones,f,s,Custom
290,tamoulophonie,tamoulophone,tamoulophones,f,s,Custom
291,tatarophonie,tatarophone,tatarophones,f,s,Custom
292,tatophonie,tatophone,tatophones,f,s,Custom
293,tchécophonie,tchécophone,tchécophones,f,s,Custom
294,télougouphonie,télougouphone,télougouphones,f,s,Custom
295,tibétophonie,tibétophone,tibétophones,f,s,Custom
296,tigréphonie,tigréphone,tigréphones,f,s,Custom
297,tigrignaphonie,tigrignaphone,tigrignaphones,f,s,Custom
298,tshilubaphonie,tshilubaphone,tshilubaphones,f,s,Custom
299,tswanaphonie,tswanaphone,tswanaphones,f,s,Custom
300,turcophonie,turcophone,turcophones,f,s,Custom
301,turkménophonie,turkménophone,turkménophones,f,s,Custom
302,ukrainophonie,ukrainophone,ukrainophones,f,s,Custom
303,vietnamophonie,vietnamophone,vietnamophones,f,s,Custom
304,wallophonie,wallophone,wallophones,f,s,Custom
305,wolophonie,wolophone,wolophones,f,s,Custom
306,yiddishophonie,yiddishophone,yiddishophones,f,s,Custom
307,yorubaphonie,yorubaphone,yorubaphones,f,s,Custom
308,xhosaphonie,xhosaphone,xhosaphones,f,s,Custom
309,zarmaphonie,zarmaphone,zarmaphones,f,s,Custom
310,zoulouphonie,zoulouphone,zoulouphones,f,s,Custom
311,presse,journaliste,journalistes,f,s,Custom
312,rassemblement,rassembleur,rassembleurs,m,s,Custom
313,organisation,organisateur,organisateurs,f,s,Custom
314,actorat,acteur,acteurs,m,s,Custom
315,chefferie,chef,chefs,f,s,Custom
