RawNoun,Count
verrier,1
mendiant,1
vidéaste,1
introverti,1
intégrateur,1
épicurien,1
blagueur,1
blanchisseur,1
bohémien,1
bordelais,1
israélite,1
brocanteur,1
businessman,1
butteur,1
bâtonnier,1
nourricier,1
novice,1
nul,1
numismate,1
laboureur,1
millionnaire,1
conciliateur,1
